Address,City Limits,latitude,longitude
5440 Atlantic Springs Rd STE 111,Raleigh,39.49345328411088,-83.35860953633996
4011 Capital Blvd STE 161,Raleigh,39.50442066936161,-83.38597075815314
8020 Arco Corporate Dr STE 104,Raleigh,39.34869459637403,-83.28596121845251
4509 Creedmoor Rd STE 202,Raleigh,39.423071051018674,-83.37350259806993
8720 Fleet Service Dr STE 100,Raleigh,39.369676608221084,-83.29426120651503
5830 Six Forks Rd,Raleigh,39.45977963800697,-83.35370304426775
1081 Varsity Dr,Raleigh,39.423537020495125,-83.44355859507667
3800 Barrett Dr UNIT 208,Raleigh,39.4636565728161,-83.39427043098846
2301 Stonehenge Dr STE 117,Raleigh,39.42901461122186,-83.31791234370763
4111 New Bern Ave STE 127,Raleigh,39.516204893213605,-83.4317693618355
2407 Paula St UNIT B,Raleigh,39.46872094320363,-83.41315493322016
2501 Atrium Dr STE 500,Raleigh,39.40183783543283,-83.4080230577554
2809 E Millbrook Rd UNIT 102,Raleigh,39.50374696790284,-83.36789243460954
13210 Strickland Rd,Raleigh,39.39147643472406,-83.28608945026576
1221 Corporation Pkwy STE 124,Raleigh,39.5138172723938,-83.43713548729221
6520 Meridien Dr STE 100,Raleigh,39.49856726314407,-83.34242598710276
2042 Clark Ave,Raleigh,39.43951578781886,-83.44243655669986
2511 Fairview Rd,Raleigh,39.444801673739526,-83.41755147504352
3301 Benson Dr STE 301,Raleigh,39.471509413071246,-83.39295778996379
4112 Pleasant Valley Rd UNIT 104,Raleigh,39.406725338626224,-83.34936442111857
319 Chapanoke Rd UNIT 105,Raleigh,39.44925928384442,-83.51348240099375
3101 Glenwood Ave STE 213,Raleigh,39.436869217625166,-83.40048123792079
5808 Departure Dr STE 107,Raleigh,39.49944360509959,-83.35150903710439
5921 Triangle Dr,Raleigh,39.37524545046152,-83.30375839271711
444 S Blount St STE 301,Raleigh,39.45798034937804,-83.4616934002274
3249 Blue Ridge Rd,Raleigh,39.40900124659323,-83.39400562949521
5511 Capital Center Dr STE 540,Raleigh,39.38461672438119,-83.46715157890493
5920 Sandy Forks Rd,Raleigh,39.46169826296666,-83.35122384386372
8340 Bandford Way STE 101,Raleigh,39.42915163929615,-83.2986376505567
702 Oberlin Rd STE 300,Raleigh,39.43860238424144,-83.43695078672752
1008 Bullard Ct,Raleigh,39.476334694790964,-83.34133948527598
3616 Hillsborough St,Raleigh,39.420438412515054,-83.43636720645526
6405 Westgate Rd STE 117,Raleigh,39.36263001962716,-83.29476795436207
5511 Capital Center Dr STE 003,Raleigh,39.38436111823949,-83.46731613143744
8801 Fast Park Dr STE 117,Raleigh,39.35880187234653,-83.29231136604156
1001 Rock Quarry Rd,Raleigh,39.4748212274459,-83.47275123412524
1223 Front St E,Raleigh,39.478421441905844,-83.40320650345497
4480 Poole Rd,Raleigh,39.51943171105712,-83.4773379285566
3001 Rowland Rd,Raleigh,39.49881788098872,-83.3245326148285
2035 New Hope Church Rd,Raleigh,39.487358377325506,-83.38641103046778
2245 North Hills Dr UNIT D,Raleigh,39.431298723715834,-83.37783243713322
2733 Capital Blvd,Raleigh,39.48852410774646,-83.40958169230754
5121 Kingdom Way STE 208,Raleigh,39.38470976701692,-83.4295270948998
8601 Ebenezer Church Rd,Raleigh,39.37841058782902,-83.30273056788003
4437 Beryl Rd,Raleigh,39.406696014690425,-83.4341338127116
8601 Glenwood Ave UNIT K,Raleigh,39.37709919742683,-83.31808458351883
4505 Falls Of Neuse Rd STE 440,Raleigh,39.4798458524521,-83.37672757475646
3128 Calvary Dr,Raleigh,39.50891396086239,-83.37709592295919
1406 Smith Reno Rd UNIT 106,Raleigh,39.43926234485529,-83.4871286633073
1420 Brookside Dr,Raleigh,39.46940942488437,-83.43275937953304
14460 Falls Of Neuse Rd STE 149,Raleigh,39.54020476456956,-83.24992350558676
613 St Marys St UNIT 3,Raleigh,39.44688173773498,-83.44432248233096
1800 Tillery Pl,Raleigh,39.472063032159554,-83.42515209816402
8414 Falls Of Neuse Rd UNIT 206,Raleigh,39.478451319133626,-83.30836889147938
3949 New Bern Ave,Raleigh,39.51439579379537,-83.43199789831522
3100 Smoketree Ct STE 1000,Raleigh,39.484285474209784,-83.40682641457967
1818 Oberlin Rd UNIT 103,Raleigh,39.44446568637398,-83.41789866967477
6014 Duraleigh Rd,Raleigh,39.40045645650962,-83.34886491765556
5605 Chapel Hill Rd UNIT 106,Raleigh,39.39200398036396,-83.44086317629359
1115 N New Hope Rd,Raleigh,39.51854566696021,-83.44031980723655
2411 E Millbrook Rd STE 102,Raleigh,39.49474081652139,-83.36949912385008
7109 Leesville Rd,Raleigh,39.40892966996202,-83.33269188534385
9400 Globe Center Dr STE 116,Raleigh,39.33003254157744,-83.30339568690069
5300 Atlantic Ave STE 107,Raleigh,39.49109729481209,-83.35834444992724
9131 Anson Way STE 301,Raleigh,39.45435599685771,-83.30677742458484
1839 Capital Blvd,Raleigh,39.474904285893714,-83.42419321117275
7610 Falls Of Neuse Rd UNIT 100,Raleigh,39.47072621320096,-83.31659917556696
1109 Cross Link Rd,Raleigh,39.46852670429757,-83.49872629923897
444 S Blount St STE 318,Raleigh,39.45785625883472,-83.46271380859447
2811 Cates Ave,Raleigh,39.42778407871793,-83.44880308183312
213 Russ St,Raleigh,39.48018725929148,-83.46009957242116
3208 Spottswood St UNIT 109,Raleigh,39.50795044884114,-83.31842135189386
2609 Atlantic Ave STE 215,Raleigh,39.4766026231283,-83.40667190590449
8831 Westgate Park Dr STE 108,Raleigh,39.374169867149575,-83.28908788068564
8601 Six Forks Rd STE 500,Raleigh,39.45070653305172,-83.30501831953809
5200 Greens Dairy Rd,Raleigh,39.50862443663516,-83.35887978336346
3801 Centurion Dr,Raleigh,39.50968341161573,-83.52046732441984
2700 S Wilmington St,Raleigh,39.45005748046849,-83.4975216942686
2221 New Hope Church Rd,Raleigh,39.48952966830066,-83.38631936776629
4900 Thornton Rd STE 109,Raleigh,39.529017079830716,-83.30792374654452
5836 Lease Ln,Raleigh,39.3763852324986,-83.30567946043618
10040 Sellona St,Raleigh,39.327111631825524,-83.30020923337835
1648 North Market Dr STE F,Raleigh,39.48391827933682,-83.38062867318618
3029 Stony Brook Dr UNIT 110,Raleigh,39.498056173456625,-83.40844337638632
1404 Corporation Pkwy,Raleigh,39.51520494093351,-83.43267374002173
1605 Wake Forest Rd,Raleigh,39.467935512895615,-83.42974874131399
6320 Capital Blvd STE 111,Raleigh,39.509530506633475,-83.34171926177555
6316 J Richard Dr UNIT C,Raleigh,39.362896705042964,-83.28648580543933
2830 Capital Blvd,Raleigh,39.49236708912817,-83.40890965363383
2220 Capital Blvd STE 120,Raleigh,39.47762089802177,-83.42056566876877
3604 Bush St,Raleigh,39.48213260401999,-83.39002464781157
414 Glenwood Ave UNIT 350,Raleigh,39.450231120910665,-83.44772951666607
5816 Creedmoor Rd STE 105,Raleigh,39.426487663497376,-83.34744136697147
6500 Creedmoor Rd STE 206,Raleigh,39.42796412369986,-83.33263008587213
3261 Atlantic Ave STE 110,Raleigh,39.48435023592509,-83.39780294781768
3000 Highwoods Blvd STE 110,Raleigh,39.48733136939692,-83.40566354602251
2004 Yonkers Rd,Raleigh,39.48231178560241,-83.4165191098321
2626 Glenwood Ave STE 480,Raleigh,39.44021136732823,-83.40663036103902
9009 Baileywick Rd UNIT 101,Raleigh,39.44894768685449,-83.29736200590082
8851 Ellstree Ln STE 108,Raleigh,39.33917168255495,-83.29666289758038
1501 Sunrise Ave STE 01,Raleigh,39.45994397421645,-83.42789291624892
3801 Wake Forest Rd STE 230,Raleigh,39.47679435082717,-83.38675820097576
4720 Hargrove Rd STE 110,Raleigh,39.498680024435615,-83.36676253630228
2930 Capital Blvd,Raleigh,39.49449212834808,-83.4071734367776
3913 New Bern Ave,Raleigh,39.51239364607066,-83.43204761329606
4721 Atlantic Ave STE 108,Raleigh,39.48904475068977,-83.36890785406509
150 Fayetteville St STE 700,Raleigh,39.455874358572885,-83.4572496284238
4020 Westchase Blvd STE 100 F,Raleigh,39.4000189774648,-83.42271887172919
4505 Fairmeadow Ln STE 106,Raleigh,39.4024626550662,-83.40902952773052
518 Pershing Rd UNIT 102,Raleigh,39.46257552497332,-83.4247254612606
3406 Six Forks Rd,Raleigh,39.46359220951768,-83.39509548398895
224 S Dawson St,Raleigh,39.45234543961035,-83.45895035852584
424 S Dawson St,Raleigh,39.45230536292284,-83.46210031790406
540 Civic Blvd UNIT 175,Raleigh,39.51361897351497,-83.46601768777862
529 S Blount St UNIT 103,Raleigh,39.4580951662724,-83.46472629466815
1504 Blue Ridge Rd,Raleigh,39.4026924417203,-83.42411575866971
7400 Glenwood Ave,Raleigh,39.39686147016221,-83.34045041251053
5511 Capital Center Dr STE 208,Raleigh,39.38436111823949,-83.46731613143744
2708 Discovery Dr UNIT M,Raleigh,39.49499447640892,-83.35346633508414
3100 Highwoods Blvd STE 101,Raleigh,39.48535704097647,-83.40339473680085
6083 Capital Blvd,Raleigh,39.50509251448082,-83.34464110983441
2245 North Hills Dr UNIT A,Raleigh,39.431298723715834,-83.37783243713322
2000 Brentwood Rd UNIT 9,Raleigh,39.49307769730666,-83.42501936427296
5410 Trinity Rd STE 310,Raleigh,39.38196583905696,-83.4221063697462
2500 Blue Ridge Rd STE 303,Raleigh,39.40494451472408,-83.407622127673
420 Daniels St,Raleigh,39.43926330668238,-83.44205870139413
4505 Falls Of Neuse Rd STE 120,Raleigh,39.47970782786414,-83.37671185806828
3209 Gresham Lake Rd STE 102,Raleigh,39.50668281155382,-83.32227458644553
3415 Avent Ferry Rd UNIT 101,Raleigh,39.40874626505233,-83.4709606289627
222 N Person St UNIT 201,Raleigh,39.46056875067942,-83.45142720899197
437 Glenwood Ave,Raleigh,39.449706951421724,-83.44728887408831
5840 McHines Pl STE A,Raleigh,39.49610965045763,-83.35533742747063
3900 Barrett Dr UNIT 100,Raleigh,39.464852033482416,-83.39387203426769
1601 Wake Forest Rd UNIT 101,Raleigh,39.46764257639113,-83.43003083914174
95 Bluff St,Raleigh,39.45310031333796,-83.4858747388634
4509 Creedmoor Rd STE 206,Raleigh,39.42314915806671,-83.37347450143903
6812 Glenwood Ave UNIT 102,Raleigh,39.4016964733141,-83.34661619410308
3328 Forestville Rd UNIT A,Raleigh,39.564213041968905,-83.32600850392093
410 Glenwood Ave STE 200,Raleigh,39.45016813186109,-83.44752371656267
1731 Trawick Rd UNIT 106,Raleigh,39.506612471734606,-83.43174952022846
3216 Wellington Ct STE 111,Raleigh,39.508826514568185,-83.32121909717837
3401 Gresham Lake Rd UNIT 100,Raleigh,39.51171390790936,-83.32160647059075
2920 Highwoods Blvd STE 300,Raleigh,39.48791729891766,-83.40580359576333
2615 Glenwood Ave,Raleigh,39.439094672921776,-83.40709004822061
2501 Atrium Dr STE 100,Raleigh,39.40183783543283,-83.4080230577554
3177 Capital Blvd,Raleigh,39.49910630361878,-83.40169188174136
8351 Standonshire Way STE 109,Raleigh,39.428404223010105,-83.29797927270573
3209 Gresham Lake Rd STE 122,Raleigh,39.507659133840846,-83.32238784928695
5400 Trinity Rd STE 402,Raleigh,39.382387900238086,-83.42251829884361
3937 New Bern Ave,Raleigh,39.51335793413439,-83.43179848327196
3600 Capital Blvd,Raleigh,39.502641500094825,-83.39427991748958
7500 Precision Dr,Raleigh,39.361224353845294,-83.28068079115563
3600 Glenwood Ave STE 150,Raleigh,39.43711620120572,-83.39116482272577
1100 N Raleigh Blvd STE 136,Raleigh,39.479615555201114,-83.43782451916718
4301 Lake Boone Trl STE B,Raleigh,39.407104880651,-83.40800365014029
3012 Highwoods Blvd UNIT 200,Raleigh,39.485950204162094,-83.40440629681574
3909 Sunset Ridge Rd STE 204,Raleigh,39.40296026337681,-83.41094454154174
1731 Trawick Rd UNIT 116,Raleigh,39.506240423656514,-83.43136320615382
2607 Glenwood Ave,Raleigh,39.43957679500286,-83.40759442020504
719 W Morgan St,Raleigh,39.446589390947416,-83.45536118966707
7208 Falls Of Neuse Rd STE 301,Raleigh,39.47115324970934,-83.32382612771421
8820 Gulf Ct STE H,Raleigh,39.36190774749723,-83.29078748158273
3208 Spottswood St,Raleigh,39.50795044884114,-83.31842135189386
3214 Charles B Root Wynd STE 213,Raleigh,39.402302794160214,-83.39298894609217
202 W Millbrook Rd,Raleigh,39.45693761200708,-83.35692718568848
1609 Capital Blvd,Raleigh,39.47032388943037,-83.42730886290175
6216 Angus Dr STE D,Raleigh,39.3671787564064,-83.29735142109554
284 W Millbrook Rd,Raleigh,39.454320069247906,-83.35689123046326
4915 Waters Edge Dr STE 185,Raleigh,39.39049301339675,-83.4598867042801
1110 Navaho Dr STE 605,Raleigh,39.4724830106975,-83.39571134340004
8131 Brier Creek Pkwy,Raleigh,39.34579152387641,-83.28383868739836
7700 Lead Mine Rd,Raleigh,39.44471951071156,-83.31829691036653
6016 Falls Of Neuse Rd,Raleigh,39.47638085432304,-83.3468620700955
3132 Calvary Dr UNIT 101,Raleigh,39.5084604365783,-83.37628853513849
5421 Old Poole Rd STE 106,Raleigh,39.525815229748,-83.47698991211732
530 Daniels St,Raleigh,39.43929370539748,-83.43952702002939
5610 Old Wake Forest Rd,Raleigh,39.4904198788929,-83.3603089105112
3516 Bush St STE 200,Raleigh,39.48056007380516,-83.39220125763336
2825 S Wilmington St,Raleigh,39.4487568450117,-83.50498486213645
2200 Westinghouse Blvd STE 103,Raleigh,39.49280431115097,-83.41944693047368
5440 Atlantic Springs Rd STE 104,Raleigh,39.49326418825546,-83.35898570821213
410 Glenwood Ave STE 350,Raleigh,39.45026164832331,-83.44818742449431
1595 Corporation Pkwy,Raleigh,39.51707309266431,-83.42843078232491
6131 Falls Of Neuse Rd STE 3,Raleigh,39.47455935992016,-83.34682635654438
6814 Davis Cir,Raleigh,39.402855848585034,-83.34567384983096
6131 Falls Of Neuse Rd STE 1,Raleigh,39.47455935992016,-83.34682635654438
2600 New Bern Ave,Raleigh,39.49516786740849,-83.45342541711474
1306 Annapolis Dr STE 104,Raleigh,39.44212683688757,-83.4293952679871
610 W Johnson St,Raleigh,39.449382599646874,-83.44546880455879
2923 Brentwood Rd,Raleigh,39.49214072414665,-83.40631098128293
130 Penmarc Dr STE 101,Raleigh,39.45065973894756,-83.48422456591736
8305 Falls Of Neuse Rd STE 206,Raleigh,39.47634236856253,-83.30780086361014
3605 Glenwood Ave STE 101,Raleigh,39.43507087415168,-83.39140305793423
5900 Poyner Anchor Ln STE 101,Raleigh,39.51787101786355,-83.35142571462661
4423 N New Hope Rd,Raleigh,39.51048984786155,-83.37898465677915
6021 Triangle Dr,Raleigh,39.372094290396376,-83.30477631849034
9521 Lumley Rd STE A,Raleigh,39.3581077364892,-83.29565831838322
6220 Angus Dr STE 102,Raleigh,39.366612681948276,-83.29739123926504
1616 E Millbrook Rd STE 140,Raleigh,39.484035853152015,-83.36782922642207
1000 St Albans Dr STE 400,Raleigh,39.472286550087745,-83.38895090550473
8851 Ellstree Ln STE 200,Raleigh,39.33917168255495,-83.29666289758038
4601 Lake Boone Trl STE 1A,Raleigh,39.40165321207631,-83.40702033390643
401 N West St UNIT 121,Raleigh,39.45098193075129,-83.44845019618049
6119 Capital Blvd,Raleigh,39.505655967624705,-83.3428332278342
4421 Six Forks Rd STE 116A,Raleigh,39.455469640421505,-83.37850339325588
2410 Atlantic Ave,Raleigh,39.47454351882331,-83.41509974176557
6200 Falls Of Neuse Rd STE 101,Raleigh,39.47569682926169,-83.34371739928675
9500 Durant Rd,Raleigh,39.51509702997228,-83.30556093439137
3901 Capital Blvd UNIT 177,Raleigh,39.50145023202681,-83.3855685941375
7001 Harps Mill Rd,Raleigh,39.46858364636717,-83.32761001223136
6908 Glenwood Ave,Raleigh,39.40016427560354,-83.34500741297614
3031 New Bern Ave STE 306,Raleigh,39.49670616171997,-83.44749960791681
3217 Forestville Rd,Raleigh,39.56639683747221,-83.32124726465472
5400 Glenwood Ave STE G01,Raleigh,39.416316911546495,-83.36247863822128
444 S Blount St STE 103,Raleigh,39.4579890586589,-83.46182136209855
1811 New Hope Church Rd UNIT 135,Raleigh,39.48378298479646,-83.38470795982295
434 Fayetteville St STE 2010,Raleigh,39.45539162806617,-83.46283432978309
11081 Forest Pines Dr UNIT 120,Raleigh,39.53830189343334,-83.24391692488086
10940 Raven Ridge Rd STE 118,Raleigh,39.50165138735152,-83.29325726764698
1053 E Whitaker Mill Rd STE 103,Raleigh,39.47159240358049,-83.4202141353376
2828 Capital Blvd,Raleigh,39.49231348917906,-83.4089475569142
2921 Wakefield Crossing Dr UNIT 116,Raleigh,39.52891215720637,-83.2496178381253
3209 Gresham Lake Rd STE 105,Raleigh,39.50679357483595,-83.32244665518358
10931 Raven Ridge Rd STE 111,Raleigh,39.50012725455926,-83.29382909602688
3725 National Dr UNIT 105,Raleigh,39.43623235462434,-83.38419735211018
