vehicle,stop_sequence,node,address,latitude,longitude
1,0,0,4520 Bullock Farm Rd,35.7950854,-78.5585458
1,1,17,4325 Glenwood Ave UNIT B,35.83987781426693,-78.67905627151733
1,2,16,4131 Parklake Ave STE 200,35.83473656226304,-78.6889703384849
1,3,8,6308 Angus Dr STE E,35.89851704227064,-78.75683115644871
1,4,3,9400 Brier Creek Pkwy STE 203,35.902968152679286,-78.79993602799357
1,5,2,7201 Creedmoor Rd STE 150,35.88469655872478,-78.68001342476454
1,6,7,6837 Falls Of Neuse Rd STE 206,35.87930302814772,-78.62552599629443
1,7,1,6675 Falls Of Neuse Rd STE 115,35.87487233976532,-78.62493475192669
1,8,20,5811 Poyner Village Pkwy,35.863890103773734,-78.57068338209967
1,9,0,4520 Bullock Farm Rd,35.7950854,-78.5585458
2,0,0,4520 Bullock Farm Rd,35.7950854,-78.5585458
2,1,9,111 E North St,35.78476714624953,-78.63693033917045
2,2,19,4200 Hillsborough St,35.798060675588054,-78.69655983297349
2,3,5,3214 Student Ln,35.793512668977534,-78.698898516452
2,4,15,701 Corporate Center Dr STE 185,35.79230684316139,-78.74178199682476
2,5,6,6303 Chapel Hill Rd,35.78920947803947,-78.73248756107351
2,6,12,547 Pylon Dr,35.79172124549503,-78.7024663857868
2,7,13,1010 Main Campus Dr STE 150,35.77101519145435,-78.6780041538613
2,8,10,226 E Martin St,35.776633936334036,-78.63542323244775
2,9,0,4520 Bullock Farm Rd,35.7950854,-78.5585458
3,0,0,4520 Bullock Farm Rd,35.7950854,-78.5585458
3,1,4,3100 Highwoods Blvd STE 115,35.82173274384589,-78.60547817998298
3,2,14,3757 Benson Dr,35.835093234115256,-78.61874129904622
3,3,11,6411 Lakecrest Dr,35.86710435487361,-78.62952594306593
3,4,18,3225 Capital Blvd,35.82405614062926,-78.58833143114134
3,5,0,4520 Bullock Farm Rd,35.7950854,-78.5585458
